,album_id,album_name,tracks,total_tracks,album_release_date,album_artist,genres,extracted_at
0,7ziI4iKKqgzM6QwUhp5HZD,"bro, I got this","['bro, I got this']",1,2024-03-20,['Pi Teddy'],[],12/07/2024 21:45:05
1,3IMePNMlrZRLcjRj6D9bvz,Uptown Train,['Uptown Train'],1,2021-06-07,['Calm Like Carl'],[],12/07/2024 21:45:05
2,5HfJlErhpKw5scselQANe3,Stickwithit,['Stickwithit'],1,2021-07-05,['Recaps'],[],12/07/2024 21:45:05
3,4GuhPC2YJ4vk9njh103Zut,fruta verde,['fruta verde'],1,2023-09-29,['Mirá'],[],12/07/2024 21:45:05
4,7ajrWkAMXtm6aosZeWiSe4,Post It Beats Pt.1,"['Steady Somewhere', 'After Surf Sandwich', 'Lost In Animation']",3,2021-06-04,['Breakfast For Brunch'],[],12/07/2024 21:45:05
5,13ibuGYy5u0rlDYb9nzxAW,Midnight City,['Midnight City'],1,2023-03-31,['7th Indigo'],[],12/07/2024 21:45:05
6,4aE1MMVBFm1WESG0pRYHJs,Incredibly happy,['Incredibly happy'],1,2023-10-20,['Silk Soul'],[],12/07/2024 21:45:05
7,4MACdcvjpSigHwHLxWDhyx,Really Get Going,['Really Get Going'],1,2021-10-15,['Steefann'],[],12/07/2024 21:45:05
8,2Oiaj5rQK2zBL5xBtGUhlV,Seven,['Seven'],1,2021-05-07,['Von Von Bon'],[],12/07/2024 21:45:05
9,5QTYGdQ4X4lUNpf7cV5Z6d,Sleepless Times,"['Sleepless Times', 'Dreaming Deep', 'Lights Off']",3,2022-11-11,['Mike Oliver'],[],12/07/2024 21:45:05
10,5ISSZnA4V8C7eCia0WIhsY,Sharingan,"['Sharingan', 'Sharingan 2', 'Ilene']",3,2021-09-28,['Blutone'],[],12/07/2024 21:45:05
11,0JL0uJmED5AQeBfgmqDDwP,Rugged Soul,"['Rugged Soul', 'Morning Routine', 'Bleep']",3,2022-03-13,['Skeleton Panda'],[],12/07/2024 21:45:05
12,0DCV1oGMFWeM9lB2pvYPaN,Surfing Cats,['Surfing Cats'],1,2024-03-15,['Breakfast For Brunch'],[],12/07/2024 21:45:05
13,5mtJbn2mK0qS0iInJ9tmIt,A Few Days Ahead,['A Few Days Ahead'],1,2022-01-07,['uniqlesse'],[],12/07/2024 21:45:05
14,4EBEcFilrfd78jF1pIUe2M,XYZ,"['XYZ', 'Toys', 'Happy Birthday']",3,2021-10-25,['Fairground Fish'],[],12/07/2024 21:45:05
15,5yDhrdMgbYA3EdMkKBYads,Friday,"['Jong', 'Friday']",2,2021-08-30,['Little Lazy Lights'],[],12/07/2024 21:45:05
16,0JjSuWZ8awn89gBUKP4urE,Sunny Side,"['Sunny Side', 'Deep Bliss', 'Do me over']",3,2021-10-04,['Hawk Town'],[],12/07/2024 21:45:05
17,0uXRH3JgRswqkavOFcL8yh,Weekends,['Weekends'],1,2022-11-15,"['RenBoz', 'quietbeat', 'VOLKHIN']",[],12/07/2024 21:45:05
18,6zLHXiO7t2klPX6w5Dpt2T,Blank Canvas,['Blank Canvas'],1,2021-11-05,['Lake Valley'],[],12/07/2024 21:45:05
19,6ENsgfts4fxKpxve4szGlD,hot sauce expert,['hot sauce expert'],1,2024-01-07,['Govii'],[],12/07/2024 21:45:05
